System output with pulse of air occasionally
Raw,Delta,Flow,TempC,AccX,AccY,AccZ
1409981,0,0.00,29.3,335,393,366
1410151,0,0.00,29.3,336,393,365
1410296,0,0.00,29.3,335,393,365
1410476,0,0.00,29.3,335,392,366
1410615,0,0.00,29.3,335,393,365
1410759,0,0.00,29.3,335,392,365
1410910,0,0.00,29.3,335,392,365
1411075,0,0.00,29.3,335,393,365
1411244,0,0.00,29.3,335,392,365
1411420,0,0.00,29.3,335,392,366
1411630,0,0.00,29.3,335,393,365
1411754,0,0.00,29.3,335,393,365
1411889,0,0.00,29.3,335,392,366
1411915,0,0.00,29.3,335,393,365
1411829,0,0.00,29.3,334,392,364
1411824,0,0.00,29.4,335,392,366
1412171,0,0.00,29.3,335,393,365
1412467,0,0.00,29.3,335,393,366
1412473,0,0.00,-50.9,153,56,58
1412359,0,0.00,-273.1,70,0,0
1412924,0,0.00,-273.1,64,0,0
1412825,0,0.00,-273.1,30,0,0
1413461,0,0.00,-273.1,33,0,0
1413626,0,0.00,-15.2,170,181,181
1413910,0,0.00,29.3,460,371,408
1414001,0,0.00,-47.8,139,74,78
693933161,0,0.00,29.3,461,382,360
1414423,0,0.00,29.3,480,391,364
1414577,0,0.00,29.2,473,375,386
1414677,0,0.00,29.2,376,362,376
1414793,0,0.00,29.2,469,360,360
1414639,0,0.00,29.2,415,384,371
1414763,0,0.00,29.2,336,392,367
0.00System Initializing...
Keep airflow OFF and system STILL for calibration...
System Initializing...
Keep airflow OFF and system STILL for calibration...


